iter	Logloss
0	0.6795108997
1	0.6658991188
2	0.6526101635
3	0.6398552482
4	0.6277233213
5	0.6164637171
6	0.606088339
7	0.5952539408
8	0.5857471212
9	0.5764511034
10	0.5672494349
11	0.5576609635
12	0.5494770887
13	0.5410797493
14	0.5329521419
15	0.5247580091
16	0.5181772399
17	0.5114014463
18	0.5053879381
19	0.4993232678
20	0.4934849606
21	0.4869346242
22	0.4812253754
23	0.4750121259
24	0.4703734604
25	0.4656125346
26	0.4622825533
27	0.45751829
28	0.4547298669
29	0.450685325
30	0.4467876761
31	0.4441538385
32	0.4402859109
33	0.4379234295
34	0.4343357122
35	0.4314083952
36	0.4293780846
37	0.4275215735
38	0.4246296406
39	0.4228943333
40	0.4213283374
41	0.4196787751
42	0.4180560214
43	0.4156035235
44	0.4140651113
45	0.4115512442
46	0.4092049797
47	0.4070360504
48	0.4047809421
49	0.4035116045
50	0.4023600974
51	0.4003674093
52	0.3993767742
53	0.3983984723
54	0.3964799468
55	0.3956309678
56	0.3947241473
57	0.3939182435
58	0.3930135872
59	0.3920577364
60	0.3905501297
61	0.3897028634
62	0.3882484601
63	0.3875053378
64	0.3859996189
65	0.3851650813
66	0.3844444761
67	0.3831119161
68	0.3825141366
69	0.3817864578
70	0.3805045828
71	0.3798236718
72	0.3792787406
73	0.3782329847
74	0.3775867903
75	0.3765820178
76	0.3760437042
77	0.3749460063
78	0.3744155773
79	0.3740077596
80	0.3732217676
81	0.3722611116
82	0.3717476502
83	0.3707621175
84	0.3702914106
85	0.36978867
86	0.3693292264
87	0.3684413831
88	0.3677989227
89	0.3669681931
90	0.3666118221
91	0.3662681005
92	0.3658097723
93	0.36538364
94	0.3647777853
95	0.3640461806
96	0.363329891
97	0.3628693311
98	0.3624372105
99	0.3618019603
100	0.361647348
101	0.3609980935
102	0.360636671
103	0.3600119695
104	0.3593798832
105	0.3590269798
106	0.3588151383
107	0.3585364665
108	0.3580509204
109	0.3574369068
110	0.3571374598
111	0.3567690747
112	0.3565716191
113	0.3560859554
114	0.3557984806
115	0.3555393491
116	0.3552074945
117	0.3548079327
118	0.3545499116
119	0.3543991635
120	0.3541089505
121	0.3539321668
122	0.3534775376
123	0.352977801
124	0.3528127673
125	0.3523978425
126	0.3521488742
127	0.3517163421
128	0.3515118505
129	0.3512778958
130	0.3510782821
131	0.3508433075
132	0.3504627793
133	0.3502778652
134	0.3501012767
135	0.3499007151
136	0.3494390787
137	0.3491384377
138	0.348882902
139	0.3485009477
140	0.3483015442
141	0.348101916
142	0.3477330004
143	0.3473046494
144	0.3471763773
145	0.3470035469
146	0.3468127179
147	0.3464478191
148	0.3461099538
149	0.3458820082
150	0.3455303927
151	0.3452111604
152	0.3451413707
153	0.3448770504
154	0.3446356893
155	0.3444660301
156	0.3443591188
157	0.3442523262
158	0.3440180116
159	0.3437929506
160	0.3436356801
161	0.3433158847
162	0.3429594985
163	0.3427017698
164	0.3425063844
165	0.3422881391
166	0.3420826228
167	0.3418815964
168	0.341714262
169	0.3415755601
170	0.3414193603
171	0.3412849837
172	0.341091728
173	0.3408852551
174	0.3406579941
175	0.3404494882
176	0.3401766044
177	0.3400943307
178	0.3399516728
179	0.3397813359
180	0.3396195251
181	0.3394584476
182	0.3392806183
183	0.3392310834
184	0.3390089437
185	0.3388640567
186	0.3386088787
187	0.3384630882
188	0.3383117879
189	0.3381718856
190	0.3380344667
191	0.337944609
192	0.3377441537
193	0.3375780379
194	0.3373842193
195	0.3372339421
196	0.3369913106
197	0.3369275463
198	0.3367261747
199	0.3366271121
200	0.3364671902
201	0.3361910283
202	0.3360300644
203	0.3357444732
204	0.3356966944
205	0.3355611486
206	0.3353511092
207	0.335104727
208	0.3349708832
209	0.3348430886
210	0.3347349959
211	0.3344493079
212	0.3343613647
213	0.3341434483
214	0.3339782059
215	0.3338741989
216	0.3337617455
217	0.3336323483
218	0.3334283597
219	0.3332249703
220	0.3331225417
221	0.3329179767
222	0.3328152153
223	0.3325438694
224	0.3324024964
225	0.3322187014
226	0.3320744384
227	0.3319562625
228	0.3317898321
229	0.3316997973
230	0.3315068196
231	0.3313841222
232	0.3312058338
233	0.3310481808
234	0.3309513807
235	0.3307782566
236	0.3305806879
237	0.3303557671
238	0.3302100816
239	0.3301368458
240	0.3299334026
241	0.3297835232
242	0.3296389769
243	0.3294286642
244	0.3293052137
245	0.3292194212
246	0.3290958777
247	0.3289582807
248	0.3288193103
249	0.3286665604
250	0.3285167097
251	0.3284110609
252	0.3282466657
253	0.328079281
254	0.3279297335
255	0.3278118894
256	0.3276839284
257	0.3274982168
258	0.3274831464
259	0.3273507888
260	0.3272516864
261	0.3271153481
262	0.3269715393
263	0.3267776989
264	0.3266044619
265	0.3264703736
266	0.326357119
267	0.326181971
268	0.3261092745
269	0.3258925874
270	0.3258127488
271	0.3256789146
272	0.3255875967
273	0.325474435
274	0.3253725367
275	0.3252440399
276	0.3250904307
277	0.3249881803
278	0.3247420659
279	0.3245877222
280	0.3244670744
281	0.3243561249
282	0.3242089374
283	0.3240749828
284	0.3239423178
285	0.3238416346
286	0.3236729782
287	0.3235731789
288	0.3235399124
289	0.3234383868
290	0.3233109803
291	0.3231285729
292	0.3230276962
293	0.3229343766
294	0.3228207436
295	0.3227014715
296	0.3225624018
297	0.3224377101
298	0.3222549144
299	0.3220876794
